Tarih;GiseSatis
25-11-2022;18.711
26-11-2022;18.706
27-11-2022;18.706
28-11-2022;18.697
29-11-2022;18.689
30-11-2022;18.706
01-12-2022;18.716
02-12-2022;18.743
03-12-2022;18.74
04-12-2022;18.74
05-12-2022;18.738
06-12-2022;18.754
07-12-2022;18.764
08-12-2022;18.763
09-12-2022;18.719
10-12-2022;18.722
11-12-2022;18.722
12-12-2022;18.726
13-12-2022;18.721
14-12-2022;18.725
15-12-2022;18.754
16-12-2022;18.78
17-12-2022;18.77
18-12-2022;18.77
19-12-2022;18.786
20-12-2022;18.801
21-12-2022;18.842
22-12-2022;18.845
23-12-2022;18.87
24-12-2022;18.86
25-12-2022;18.86
26-12-2022;18.851
27-12-2022;18.828
28-12-2022;18.876
29-12-2022;18.916
30-12-2022;18.902
31-12-2022;18.89
